City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,hilo,19.7297,-155.09,79.29,97,84,4.59,US,1669867208
269,uyemskiy,64.4743,40.8524,15.85,92,40,0.0,RU,1669867407
270,boa vista,2.8197,-60.6733,76.53,74,99,9.04,BR,1669867408
271,pyinmana,19.7333,96.2167,84.54,62,38,3.78,MM,1669867408
272,prince rupert,54.3161,-130.3201,17.58,48,0,8.59,CA,1669867222
273,olinda,-8.0089,-34.8553,78.03,75,100,8.08,BR,1669867259
274,port blair,11.6667,92.75,84.24,79,75,6.91,IN,1669867225
275,lyubech,51.7026,30.6569,19.22,87,22,7.47,UA,1669867409
276,suntar,62.1444,117.6319,-15.39,94,100,5.17,RU,1669867409
277,moshi,-3.35,37.3333,67.8,79,93,3.4,TZ,1669867410
278,namibe,-15.1961,12.1522,68.99,78,99,7.38,AO,1669867410
279,aitape,-3.1374,142.3475,83.32,73,100,9.1,PG,1669867410
280,vostok,46.4856,135.8833,-2.96,88,100,13.24,RU,1669867411
281,hami,42.8,93.45,17.22,14,36,4.88,CN,1669867411
282,wanning,18.8003,110.3967,75.24,89,100,17.74,CN,1669867412
283,paamiut,61.994,-49.6678,24.78,80,94,42.14,GL,1669867412
284,durban,-29.8579,31.0292,69.03,87,82,1.99,ZA,1669867412
285,kieta,-6.2167,155.6333,81.81,80,96,6.31,PG,1669867413
286,antofagasta,-23.65,-70.4,63.43,79,4,4.18,CL,1669867363
287,mount isa,-20.7333,139.5,91.17,15,0,12.66,AU,1669867239
288,ugoofaaru,5.6667,73.0,81.09,69,18,3.36,MV,1669867413
289,ust-kuyga,70.0167,135.6,-6.74,97,100,10.92,RU,1669867414
290,tarko-sale,64.9225,77.785,-8.84,94,36,7.85,RU,1669867414
291,ribeira grande,38.5167,-28.7,61.77,81,5,3.0,PT,1669867414
292,bor,56.3567,44.0669,-0.47,99,52,2.08,RU,1669867285
293,atambua,-9.1061,124.8925,83.57,66,67,3.53,ID,1669867415
294,koumac,-20.5667,164.2833,87.91,62,80,11.27,NC,1669867415
295,anadyr,64.75,177.4833,32.5,80,100,33.55,RU,1669867416
296,olafsvik,64.8945,-23.7142,43.07,84,74,32.06,IS,1669867416
297,sinnamary,5.3833,-52.95,76.66,86,74,9.4,GF,1669867416
298,hithadhoo,-0.6,73.0833,81.14,68,40,8.88,MV,1669867417
299,burnie,-41.0667,145.9167,66.94,49,0,7.63,AU,1669867417
300,kirovskiy,45.0917,133.5136,6.6,70,100,14.65,RU,1669867417
301,labytnangi,66.6572,66.4183,-7.78,99,11,3.83,RU,1669867418
302,selfoss,63.9331,-20.9971,42.04,80,100,22.66,IS,1669867418
303,mandan,46.8267,-100.8896,9.37,81,0,11.5,US,1669867418
304,sumbe,-11.2061,13.8437,76.15,88,100,6.46,AO,1669867419
305,dali,25.7,100.1833,62.92,51,8,5.12,CN,1669867419
306,malmyzh,56.5205,50.6818,4.62,97,91,4.59,RU,1669867420
307,madan,41.5,24.95,36.52,98,100,5.64,BG,1669867420
308,sept-iles,50.2001,-66.3821,32.05,96,100,8.99,CA,1669867420
309,beloha,-25.1667,45.05,72.09,81,100,9.46,MG,1669867421
310,kingman,35.1894,-114.053,50.74,57,0,2.51,US,1669867274
311,talnakh,69.4865,88.3972,-2.97,100,99,3.24,RU,1669867421
312,newport beach,33.6189,-117.9289,58.59,67,7,1.99,US,1669867244
313,cockburn town,21.4612,-71.1419,80.65,72,75,19.15,TC,1669867403
314,te anau,-45.4167,167.7167,60.78,43,34,10.36,NZ,1669867422
315,shingu,33.7333,135.9833,56.68,43,64,0.96,JP,1669867423
316,kalmunai,7.4167,81.8167,81.45,75,100,2.62,LK,1669867423
317,severo-kurilsk,50.6789,156.125,29.41,58,72,17.18,RU,1669867423
318,oranjestad,12.524,-70.027,79.92,80,6,5.01,AW,1669867424
319,wana,32.2989,69.5725,56.35,28,98,2.33,PK,1669867424
320,rajauri,33.3833,74.3,64.96,21,33,0.22,IN,1669867424
321,yilan,24.757,121.753,69.06,92,100,5.17,TW,1669867340
322,taltal,-25.4,-70.4833,63.66,84,0,2.46,CL,1669867229
323,makakilo city,21.3469,-158.0858,76.44,77,92,8.97,US,1669867290
324,talant,47.3369,5.0089,43.41,81,100,9.22,FR,1669867425
325,ariquemes,-9.9133,-63.0408,73.51,93,97,2.8,BR,1669867318
326,rocha,-34.4833,-54.3333,67.55,93,30,13.22,UY,1669867426
327,tucurui,-3.7661,-49.6725,75.18,90,100,1.74,BR,1669867426
328,atikokan,48.7555,-91.6216,11.28,87,100,10.4,CA,1669867426
329,naze,28.3667,129.4833,60.22,72,98,17.9,JP,1669867427
330,rochegda,62.8,43.25,9.54,97,96,1.92,RU,1669867427
331,roebourne,-20.7833,117.1333,97.05,28,6,10.67,AU,1669867427
332,kuala terengganu,5.3302,103.1408,83.98,85,100,7.38,MY,1669867428
333,sikandra,26.3667,79.65,66.78,33,0,3.85,IN,1669867428
334,zhangye,38.9342,100.4517,25.7,30,37,3.65,CN,1669867429
335,tilichiki,60.4667,166.1,33.15,97,100,25.01,RU,1669867429
336,rawson,-43.3002,-65.1023,57.22,69,0,20.02,AR,1669867429
337,lerwick,60.1545,-1.1494,50.0,85,100,24.92,GB,1669867430
338,bengkulu,-3.8004,102.2655,81.95,67,96,5.06,ID,1669867430
339,fiche,9.8,38.7333,43.02,49,16,2.24,ET,1669867430
340,zhigansk,66.7697,123.3711,-28.66,97,91,6.93,RU,1669867431
341,mizan teferi,6.9833,35.5833,60.12,86,29,3.31,ET,1669867431
342,billings,45.7833,-108.5007,32.67,78,78,1.99,US,1669867244
343,porto novo,6.4965,2.6036,76.84,85,63,4.05,BJ,1669867234
344,ekibastuz,51.6667,75.3667,-0.62,84,100,11.74,KZ,1669867432
345,barddhaman,23.25,87.85,78.44,42,0,7.27,IN,1669867432
346,muli,2.9167,73.5667,80.96,69,20,3.31,MV,1669867433
347,honningsvag,70.9821,25.9704,35.35,80,20,12.66,NO,1669867433
348,kununurra,-15.7667,128.7333,98.58,18,96,5.75,AU,1669867375
349,kilcullen,53.1303,-6.7444,49.44,91,100,7.31,IE,1669867433
350,college,64.8569,-147.8028,8.2,83,100,3.44,US,1669867434
351,opuwo,-18.0607,13.84,68.9,51,53,1.95,NA,1669867434
352,samarai,-10.6167,150.6667,83.44,75,100,5.08,PG,1669867435
353,buraydah,26.326,43.975,60.21,63,84,12.17,SA,1669867435
354,gravdal,68.1214,13.5031,35.49,93,40,0.0,NO,1669867436
355,talcahuano,-36.7167,-73.1167,51.73,78,0,10.45,CL,1669867436
356,cayenne,4.9333,-52.3333,75.24,94,75,1.14,GF,1669867436
357,sao joao da barra,-21.6403,-41.0511,74.37,91,95,17.4,BR,1669867437
358,kiama,-34.6833,150.8667,69.46,59,95,8.57,AU,1669867437
359,guarapari,-20.6667,-40.4975,74.89,93,100,12.88,BR,1669867437
360,minden,52.2833,8.9167,39.47,94,100,5.75,DE,1669867226
361,bulawayo,-20.15,28.5833,57.83,67,0,5.84,ZW,1669867438
362,aykhal,66.0,111.5,-21.33,97,100,18.79,RU,1669867438
363,rosetta,31.4044,30.4164,61.63,78,0,7.87,EG,1669867439
364,pangnirtung,66.1451,-65.7125,-19.77,77,5,4.34,CA,1669867439
365,ginir,7.1333,40.7,55.42,45,17,4.85,ET,1669867440
366,wewak,-3.5534,143.6268,85.41,69,100,10.38,PG,1669867440
